47076	1.0008193493776376	8.193494e-04	2	2	16	0.531392
47202	1.0008456110385895	8.456110e-04	2	2	17	0.532572
47328	1.0008575260589854	8.575261e-04	2	2	18	0.533771
47438	1.0008560484232927	8.560484e-04	2	2	19	0.534876
47550	1.000843068564581	8.430686e-04	2	2	21	0.536072
47663	1.0008204543844925	8.204544e-04	2	2	20	0.537300
47770	1.0007932584950712	7.932585e-04	2	2	20	0.538465
47877	1.0007626400816445	7.626401e-04	2	2	21	0.539637
47939	1.0007439119378474	7.439119e-04	2	2	100	0.540323
48023	1.0008205385112703	8.205385e-04	3	3	16	0.541290
48085	1.0007426167760132	7.426168e-04	3	3	100	0.542012
48154	1.0006838199026926	6.838199e-04	3	3	100	0.542794
48191	1.0006569339803593	6.569340e-04	3	3	100	0.543264
48228	1.0006339831388078	6.339831e-04	3	3	100	0.543742
48265	1.0006143936807441	6.143937e-04	3	3	100	0.544219
48358	1.000574587969077	5.745880e-04	3	3	26	0.545451
48462	1.0005371704159527	5.371704e-04	3	3	24	0.546938
48520	1.0004916917126168	4.916917e-04	2	3	59	0.547765
48566	1.0004165916161327	4.165916e-04	2	3	63	0.548419
48596	1.0003714273336297	3.714273e-04	2	3	100	0.548843
48642	1.0003071107041344	3.071107e-04	0	3	43	0.549492
48705	1.0002284640095378	2.284640e-04	0	3	100	0.550379
48741	1.0001890799553752	1.890800e-04	0	3	100	0.550887
48772	1.000158179983232	1.581800e-04	0	3	100	0.551324
48805	1.0001278542782952	1.278543e-04	0	3	100	0.551793
48833	1.0001039665571652	1.039666e-04	0	3	100	0.552196
